ARN-BKK
ATH-CPH
GOT-SKP
STO-SSH
ARN-THR
CPH-NJF
IST-STO
GOT-BOS
STO-MRU
ARN-DAC
GOT-INN
VXO-ALC
STO-HRG
UME-LON
STO-PNH
ARN-MOW
ARN-MHD
CPH-ARN
GOT-TXL
STO-HER
ARN-TLL
CPH-WAW
ARN-PSA
GOT-ZAD
CPH-AUH
STO-MMA
STO-BOB
ARN-ZNZ
GOT-BOG
ARN-KYA
CPH-BJS
GOT-HRG
CPH-OSL
GOT-CAI
CPH-NBO
GOT-JNB
CPH-MBA
GOT-JTR
ARN-BUH
CPH-SAO
BCN-GOT
GOT-ISU
GOT-MEX
GOT-MRU
STO-MAA
AGH-STO
STO-SEA
GOT-CTA
ARN-KGS
GOT-HAM
GOT-STR
AMS-ARN
STO-EBB
GOT-OPO
GOT-SJO
GOT-GLA
CPH-NAP
IST-GOT
ARN-OTP
ARN-DAR
GOT-ATL
ARN-PMO
STO-PER
CPH-PMO
CPH-AGA
GOT-PUY
NYC-MIA
TYO-CPH
STO-SEZ
STO-YMQ
STO-BIO
ARN-SDQ
STO-VAA
ARN-IBZ
SKG-STO
LHR-ARN
ARN-CAS
LAX-HNL
GOT-TFS
ARN-TBS
BEG-ARN
STO-PHX
ARN-MSP
UME-ALC
ARN-INN
GOT-TPA
CPH-CAN
ARN-IAH
GOT-RAK
IST-ARN
ARN-DFW
MMX-PRN
ARN-TAS
ARN-MGQ
HEL-STO
MOW-STO
GOT-PSA
STO-STR
ARN-VAA
ARN-IFN
GOT-SAN
CPH-KRK
ARN-DLM
GOT-MBJ
CPH-RSW
CPH-MRU
SFT-ARN
STO-TBS
STO-KGS
MMX-BCN
GOT-NAP
CPH-MBJ
CPH-JNB
CPH-ASM
STO-AHO
ARN-DIY
BCN-CPH
CPH-HER
CPH-ALG
STO-MHD
ARN-EBB
GOT-KYA
ARN-JNB
CPH-CEB
CPH-RIX
CPH-KWI
GOT-BJS
CPH-TBS
ALC-STO
ARN-ADB
GOT-DLM
ARN-IEV
STO-JFK
CPH-PHX
CPH-SHA
CPH-SEA
NYC-STO
GOT-ASM
CPH-TPA
ZAG-CPH
STO-SKP
STO-OPO
CPH-PSA
CPH-VLC
CPH-MLE
STO-SAW
FRA-STO
CPH-IBZ
ROM-STO
STO-CTA
ARN-BJV
STO-PUY
GOT-UIO
CPH-NAT
CPH-TUN
GOT-MYR
GOT-CAN
CPH-TFS
ATH-GOT
CPH-BJL
GOT-SAO
STO-BIQ
CPH-SSH
STO-PVG
HAD-STO
BRU-STO
CPH-STR
STO-CMN
ARN-PVG
ARN-HRG
ARN-JKT
ARN-MRS
MUC-ARN
CPH-DAR
MUC-STO
STO-GZP
ARN-BHX
ARN-CTA
ARN-CCU
CPH-OTP
PAR-CPH
GOT-RIX
ARN-ACE
STO-KBL
ARN-FUE
AMS-CPH
GOT-ZNZ
ARN-VLC
STO-GLA
MAD-STO
GOT-WAW
ARN-ULN
EBL-ARN
GOT-ACE
CPH-GZP
MNL-ARN
ARN-IAD
CPH-SOF
GOT-TLL
ARN-FNC
ARN-CMN
CPH-BNE
GOT-DIY
CPH-FCO
CPH-NNG
BEY-GOT
ARN-PHX
STO-ISB
PVG-MNL
STO-BJV
AMS-GOT
STO-ZAD
ARN-KTM
FRA-ARN
GOT-KRN
ARN-DVO
ARN-ORL
CPH-ZAD
MNL-STO
STO-IAH
CPH-VNO
GOT-LGW
ARN-RSW
CPH-BOM
UME-BKK
GOT-MLE
ARN-NAP
CPH-CTA
STO-ACE
GOT-LYS
AGP-GOT
ARN-YYZ
CPH-BHX
EBL-GOT
CPH-KTM
BKK-KBV
STO-OTP
STO-DAR
CPH-PER
MIL-STO
CPH-DLM
CPH-MRS
STO-DFW
STO-FNC
CPH-ADD
STO-DLM
STO-HAD
ARN-ADA
ARN-BGI
ARN-HER
BUD-STO
CPH-LEX
SKG-ARN
ARN-VNO
PMI-STO
GOT-PMO
GOT-SOF
ARN-PNH
ARN-JIB
ARN-ATL
ARN-KEF
ARN-BIO
ARN-LGK
STO-AUA
STO-LYS
GOT-JKT
GOT-ORL
ARN-KRT
CPH-POP
CPH-FUE
MMX-BMA
ARN-ISB
AGP-CPH
PRN-STO
ARN-GRU
AYT-ARN
PAR-GOT
ARN-TGD
IEV-STO
STO-UIO
BEY-STO
LLA-GOT
ARN-STR
STO-CFU
GOT-GZP
CPH-PNH
GOT-CGN
STO-REC
ARN-PUJ
LPI-AMS
STO-LGW
ARN-BGO
CPH-KEF
ESB-ARN
CPH-DEN
STO-MGA
GOT-IEV
LPI-NYC
ARN-GYD
OSD-ARN
GOT-IBZ
UME-LPA
FRA-GOT
CPH-BOJ
STO-BGO
CPH-PUJ
NYC-LAX
STO-SDQ
GOT-FUE
GOT-SEA
GOT-VBY
GOT-NBO
STO-ULN
ARN-BLQ
VIE-STO
ARN-SKP
CPH-BRS
STO-FUE
ARN-MVD
GOT-YMQ
STO-MSP
GOT-BMA
GOT-BJV
ARN-NJF
STO-KTM
NCE-STO
STO-TGD
OSD-STO
ARN-MBA
LON-NYC
GOT-KBP
STO-TIA
ARN-MQM
GOT-TRN
STO-DAC
GOT-PHX
ARN-ANK
ARN-SEZ
VBY-STO
MMX-AYT
PAR-ARN
OSL-LON
ARN-MGA
CPH-SAW
ARN-ACC
LPA-ARN
GOT-GDN
GOT-EWR
LLA-LPA
CPH-BOS
ARN-MAA
CPH-WAS
GOT-CAS
CPH-MXP
CPH-SEZ
SDL-GOT
ARN-GDN
DXB-STO
CPH-IEV
STO-DOH
CPH-CAS
GOT-SDL
ARN-NRT
ARN-TIA
SOF-ARN
VIE-ARN
CPH-YMQ
STO-BAK
BKK-SGN
PRG-STO
STO-OUD
BER-ARN
SJJ-STO
PMI-ARN
STO-ISU
SCL-ARN
CPH-ORD
GOT-DFW
TLV-CPH
PRN-ARN
ARN-ALA
CPH-MOW
GVA-CPH
CPH-MSP
SPU-CPH
ARN-SEL
STO-ODS
MAD-ARN
STO-EWR
STO-BOD
GOT-BJL
ARN-SVO
STO-LGK
GOT-SSH
SKP-MMX
STO-DEN
CPH-ODS
GVA-STO
GOT-OTP
TLL-MIA
STO-YYC
HEL-GOT
GOT-BUE
LAX-ARN
BMA-GOT
ARN-HGA
LPI-BKK
SCL-STO
CPH-HAM
ARN-UTH
ARN-SSH
IKA-CPH
CPH-SYZ
GOT-FCO
ARN-SHA
LAX-STO
STO-PFO
ARN-AGH
STO-RSW
GOT-MVD
STO-TRN
GOT-VLC
STO-MVD
GOT-PER
MOW-ARN
MUC-CPH
CPH-BLQ
IST-CPH
CPH-SLC
KLR-STO
ZRH-ARN
CPH-LIM
ARN-LHE
VBY-ARN
STO-BLL
SKG-GOT
STO-ATL
GOT-MES
STO-MBJ
DXB-ARN
GOT-IAD
LPA-STO
STO-HYD
MMA-SKP
TCI-STO
STO-SID
GOT-GUA
STO-KYA
