City_OD,CountryCode, SabreShops ,PctOfTotal,CPCT
CPH-BKK,DK," 7,231,203 ",3.30%,3.30%
CPH-NYC,DK," 6,335,713 ",2.89%,6.19%
CPH-LON,DK," 4,994,427 ",2.28%,8.47%
CPH-PAR,DK," 4,613,060 ",2.10%,10.57%
CPH-BER,DK," 3,584,746 ",1.64%,12.21%
CPH-AGP,DK," 3,051,715 ",1.39%,13.60%
CPH-BCN,DK," 2,949,702 ",1.35%,14.94%
CPH-ROM,DK," 2,783,581 ",1.27%,16.21%
CPH-IST,DK," 2,056,337 ",0.94%,17.15%
BLL-LON,DK," 1,929,513 ",0.88%,18.03%
CPH-LAX,DK," 1,799,255 ",0.82%,18.85%
CPH-DXB,DK," 1,574,118 ",0.72%,19.57%
CPH-BEY,DK," 1,566,540 ",0.71%,20.29%
CPH-HKT,DK," 1,554,389 ",0.71%,20.99%
CPH-MIL,DK," 1,550,064 ",0.71%,21.70%
CPH-AMS,DK," 1,498,114 ",0.68%,22.38%
CPH-PMI,DK," 1,472,990 ",0.67%,23.06%
CPH-MIA,DK," 1,409,663 ",0.64%,23.70%
CPH-NCE,DK," 1,300,083 ",0.59%,24.29%
CPH-LIS,DK," 1,230,117 ",0.56%,24.85%
CPH-REK,DK," 1,199,172 ",0.55%,25.40%
CPH-MAD,DK," 1,154,605 ",0.53%,25.93%
CPH-AYT,DK," 1,148,680 ",0.52%,26.45%
CPH-SFO,DK," 1,116,628 ",0.51%,26.96%
CPH-MNL,DK," 1,106,214 ",0.50%,27.47%
CPH-PRG,DK," 1,080,502 ",0.49%,27.96%
CPH-STO,DK," 1,019,997 ",0.47%,28.42%
BLL-PAR,DK," 988,102 ",0.45%,28.87%
CPH-ATH,DK," 967,104 ",0.44%,29.32%
BLL-AGP,DK," 951,158 ",0.43%,29.75%
CPH-ALC,DK," 887,996 ",0.41%,30.15%
BLL-NYC,DK," 853,863 ",0.39%,30.54%
CPH-LPA,DK," 847,492 ",0.39%,30.93%
AAL-CPH,DK," 833,130 ",0.38%,31.31%
CPH-VIE,DK," 780,931 ",0.36%,31.67%
BLL-BKK,DK," 760,534 ",0.35%,32.01%
CPH-DPS,DK," 757,048 ",0.35%,32.36%
CPH-BUD,DK," 751,447 ",0.34%,32.70%
CPH-SGN,DK," 743,520 ",0.34%,33.04%
CPH-GVA,DK," 727,593 ",0.33%,33.37%
CPH-BEG,DK," 726,904 ",0.33%,33.70%
CPH-BRU,DK," 723,730 ",0.33%,34.03%
CPH-MUC,DK," 720,621 ",0.33%,34.36%
CPH-TLV,DK," 709,713 ",0.32%,34.69%
BLL-ROM,DK," 690,956 ",0.32%,35.00%
CPH-THR,DK," 688,034 ",0.31%,35.32%
CPH-OSL,DK," 681,086 ",0.31%,35.63%
CPH-AAL,DK," 673,744 ",0.31%,35.93%
CPH-SYD,DK," 650,197 ",0.30%,36.23%
CPH-VCE,DK," 648,841 ",0.30%,36.53%
CPH-SIN,DK," 630,801 ",0.29%,36.81%
CPH-TCI,DK," 619,664 ",0.28%,37.10%
CPH-CMB,DK," 618,960 ",0.28%,37.38%
LON-CPH,DK," 617,179 ",0.28%,37.66%
BLL-BCN,DK," 591,064 ",0.27%,37.93%
CPH-DUB,DK," 582,975 ",0.27%,38.20%
,DK," 576,831 ",0.26%,38.46%
CPH-BUH,DK," 572,242 ",0.26%,38.72%
AAL-BKK,DK," 566,590 ",0.26%,38.98%
CPH-DEL,DK," 550,544 ",0.25%,39.23%
CPH-ORL,DK," 550,014 ",0.25%,39.48%
BLL-AYT,DK," 549,680 ",0.25%,39.73%
CPH-MAN,DK," 532,380 ",0.24%,39.98%
CPH-TYO,DK," 528,211 ",0.24%,40.22%
CPH-SKP,DK," 519,369 ",0.24%,40.45%
BLL-PMI,DK," 508,266 ",0.23%,40.68%
CPH-RAK,DK," 502,644 ",0.23%,40.91%
HAM-AYT,DK," 489,623 ",0.22%,41.14%
CPH-HAV,DK," 479,639 ",0.22%,41.36%
HAM-BKK,DK," 475,667 ",0.22%,41.57%
CPH-WAW,DK," 474,793 ",0.22%,41.79%
CPH-KUL,DK," 464,029 ",0.21%,42.00%
CPH-HEL,DK," 463,700 ",0.21%,42.21%
CPH-YTO,DK," 459,650 ",0.21%,42.42%
CPH-ZRH,DK," 453,298 ",0.21%,42.63%
CPH-EDI,DK," 452,473 ",0.21%,42.84%
CPH-FRA,DK," 451,443 ",0.21%,43.04%
AAL-LON,DK," 449,288 ",0.20%,43.25%
AAR-LON,DK," 443,092 ",0.20%,43.45%
CPH-KYA,DK," 433,925 ",0.20%,43.65%
BLL-ALC,DK," 431,890 ",0.20%,43.84%
CPH-ANK,DK," 424,983 ",0.19%,44.04%
BKK-CPH,DK," 424,092 ",0.19%,44.23%
BLL-LAX,DK," 424,080 ",0.19%,44.42%
CPH-FLR,DK," 420,318 ",0.19%,44.62%
CPH-SJJ,DK," 416,269 ",0.19%,44.81%
CPH-CAI,DK," 415,567 ",0.19%,45.00%
CPH-FLL,DK," 415,509 ",0.19%,45.19%
CPH-BJS,DK," 413,998 ",0.19%,45.37%
CPH-HKG,DK," 412,929 ",0.19%,45.56%
CPH-DUS,DK," 409,081 ",0.19%,45.75%
CPH-IZM,DK," 405,451 ",0.18%,45.93%
CPH-RIO,DK," 399,134 ",0.18%,46.12%
HAM-AGP,DK," 395,312 ",0.18%,46.30%
BLL-IST,DK," 378,801 ",0.17%,46.47%
CPH-BUE,DK," 377,593 ",0.17%,46.64%
CPH-USM,DK," 371,928 ",0.17%,46.81%
CPH-SHA,DK," 370,720 ",0.17%,46.98%
CPH-HAN,DK," 369,554 ",0.17%,47.15%
AAL-AGP,DK," 362,664 ",0.17%,47.31%
CPH-HAM,DK," 359,501 ",0.16%,47.48%
CPH-PRN,DK," 358,611 ",0.16%,47.64%
CPH-LYS,DK," 355,330 ",0.16%,47.80%
CPH-CAS,DK," 355,166 ",0.16%,47.97%
CPH-MOW,DK," 350,419 ",0.16%,48.13%
AAL-BCN,DK," 347,651 ",0.16%,48.28%
CPH-KBV,DK," 345,453 ",0.16%,48.44%
CPH-CPT,DK," 343,698 ",0.16%,48.60%
CPH-WAS,DK," 336,973 ",0.15%,48.75%
AGP-CPH,DK," 336,948 ",0.15%,48.91%
CPH-AKL,DK," 336,065 ",0.15%,49.06%
BLL-MIA,DK," 331,684 ",0.15%,49.21%
BLL-AMS,DK," 326,968 ",0.15%,49.36%
CPH-MLA,DK," 323,845 ",0.15%,49.51%
CPH-ZAG,DK," 321,342 ",0.15%,49.65%
CPH-CHI,DK," 319,363 ",0.15%,49.80%
CPH-PSA,DK," 318,286 ",0.15%,49.94%
BLL-TCI,DK," 316,356 ",0.14%,50.09%
CPH-LAS,DK," 315,509 ",0.14%,50.23%
CPH-SPU,DK," 313,244 ",0.14%,50.38%
CPH-SOF,DK," 310,344 ",0.14%,50.52%
BLL-OSL,DK," 306,726 ",0.14%,50.66%
HAM-PMI,DK," 302,147 ",0.14%,50.80%
PAR-CPH,DK," 300,169 ",0.14%,50.93%
AAL-NYC,DK," 297,828 ",0.14%,51.07%
CPH-MEL,DK," 297,791 ",0.14%,51.20%
HAM-NYC,DK," 296,078 ",0.14%,51.34%
AAL-AYT,DK," 295,811 ",0.13%,51.47%
BLL-MIL,DK," 294,249 ",0.13%,51.61%
CPH-JNB,DK," 293,232 ",0.13%,51.74%
CPH-RIX,DK," 292,691 ",0.13%,51.88%
CPH-CHQ,DK," 289,655 ",0.13%,52.01%
CPH-CUN,DK," 288,689 ",0.13%,52.14%
CPH-AMM,DK," 287,215 ",0.13%,52.27%
CPH-KTM,DK," 275,380 ",0.13%,52.40%
HAM-BCN,DK," 272,834 ",0.12%,52.52%
BLL-STO,DK," 271,756 ",0.12%,52.64%
CPH-YVR,DK," 269,301 ",0.12%,52.77%
CPH-HER,DK," 267,350 ",0.12%,52.89%
BCN-CPH,DK," 262,751 ",0.12%,53.01%
CPH-TGD,DK," 262,636 ",0.12%,53.13%
CPH-SZG,DK," 261,716 ",0.12%,53.25%
CPH-GOI,DK," 260,002 ",0.12%,53.37%
BLL-LPA,DK," 259,640 ",0.12%,53.49%
BLL-BUD,DK," 258,938 ",0.12%,53.60%
CPH-FAE,DK," 252,982 ",0.12%,53.72%
CPH-BOS,DK," 252,305 ",0.12%,53.83%
BER-CPH,DK," 251,160 ",0.11%,53.95%
CPH-IEV,DK," 249,648 ",0.11%,54.06%
CPH-KRK,DK," 248,887 ",0.11%,54.18%
CPH-BOM,DK," 248,294 ",0.11%,54.29%
CPH-HNL,DK," 246,962 ",0.11%,54.40%
CPH-MEX,DK," 236,451 ",0.11%,54.51%
CPH-MLE,DK," 233,518 ",0.11%,54.62%
AAL-PAR,DK," 230,189 ",0.11%,54.72%
CPH-PMO,DK," 229,870 ",0.10%,54.83%
CPH-FAO,DK," 228,836 ",0.10%,54.93%
CPH-LCA,DK," 225,825 ",0.10%,55.03%
BLL-BER,DK," 225,372 ",0.10%,55.14%
BLL-VCE,DK," 223,299 ",0.10%,55.24%
CPH-VNO,DK," 221,954 ",0.10%,55.34%
CPH-DBV,DK," 221,589 ",0.10%,55.44%
CPH-NBO,DK," 219,453 ",0.10%,55.54%
CPH-SEA,DK," 216,644 ",0.10%,55.64%
KRP-CPH,DK," 214,709 ",0.10%,55.74%
CPH-SJO,DK," 214,500 ",0.10%,55.84%
BLL-DXB,DK," 209,309 ",0.10%,55.93%
BLL-BEY,DK," 208,642 ",0.10%,56.03%
BLL-SFO,DK," 208,116 ",0.09%,56.12%
CPH-SAO,DK," 208,066 ",0.09%,56.22%
BLL-ORL,DK," 207,513 ",0.09%,56.31%
BLL-NCE,DK," 207,030 ",0.09%,56.40%
CPH-RHO,DK," 204,844 ",0.09%,56.50%
CPH-FNC,DK," 203,857 ",0.09%,56.59%
CPH-SSH,DK," 200,443 ",0.09%,56.68%
CPH-CEB,DK," 199,640 ",0.09%,56.77%
HAM-DXB,DK," 199,384 ",0.09%,56.86%
CPH-MRS,DK," 198,242 ",0.09%,56.96%
CPH-SEL,DK," 195,921 ",0.09%,57.04%
NYC-CPH,DK," 194,347 ",0.09%,57.13%
CPH-NAP,DK," 192,379 ",0.09%,57.22%
AAR-CPH,DK," 190,311 ",0.09%,57.31%
CPH-CTA,DK," 189,885 ",0.09%,57.39%
BLL-CPH,DK," 188,723 ",0.09%,57.48%
CPH-INN,DK," 182,273 ",0.08%,57.56%
,DK," 180,775 ",0.08%,57.65%
CPH-DAR,DK," 180,361 ",0.08%,57.73%
IST-CPH,DK," 179,465 ",0.08%,57.81%
BLL-PRG,DK," 178,977 ",0.08%,57.89%
AAL-IST,DK," 178,912 ",0.08%,57.97%
CPH-LIM,DK," 177,004 ",0.08%,58.05%
BLL-SGN,DK," 176,627 ",0.08%,58.13%
AAL-AMS,DK," 176,538 ",0.08%,58.22%
CPH-RNN,DK," 175,396 ",0.08%,58.30%
HAM-PAR,DK," 175,392 ",0.08%,58.38%
AMS-CPH,DK," 175,243 ",0.08%,58.46%
CPH-BNE,DK," 174,967 ",0.08%,58.53%
HAM-ROM,DK," 174,391 ",0.08%,58.61%
CPH-BGO,DK," 174,330 ",0.08%,58.69%
CPH-OPO,DK," 172,494 ",0.08%,58.77%
CPH-GOH,DK," 172,240 ",0.08%,58.85%
CPH-BLQ,DK," 172,011 ",0.08%,58.93%
BLL-MNL,DK," 171,956 ",0.08%,59.01%
BLL-HKT,DK," 171,874 ",0.08%,59.09%
AAR-AGP,DK," 170,743 ",0.08%,59.16%
CPH-QUF,DK," 169,138 ",0.08%,59.24%
ROM-CPH,DK," 167,720 ",0.08%,59.32%
AAL-LAX,DK," 165,584 ",0.08%,59.39%
CPH-STR,DK," 165,175 ",0.08%,59.47%
CPH-SCL,DK," 164,643 ",0.08%,59.54%
BLL-REK,DK," 163,780 ",0.07%,59.62%
BEG-CPH,DK," 163,725 ",0.07%,59.69%
CPH-BHX,DK," 162,984 ",0.07%,59.77%
CPH-BOJ,DK," 161,946 ",0.07%,59.84%
CPH-JKT,DK," 161,702 ",0.07%,59.92%
BLL-LIS,DK," 160,861 ",0.07%,59.99%
AAL-ROM,DK," 160,679 ",0.07%,60.06%
CPH-MRU,DK," 160,335 ",0.07%,60.14%
CPH-SKG,DK," 158,399 ",0.07%,60.21%
CPH-EAP,DK," 157,540 ",0.07%,60.28%
BLL-FRA,DK," 157,199 ",0.07%,60.35%
CPH-DOH,DK," 156,964 ",0.07%,60.42%
BLL-MAD,DK," 154,683 ",0.07%,60.49%
BLL-MAN,DK," 154,669 ",0.07%,60.56%
BEY-CPH,DK," 153,734 ",0.07%,60.63%
MIL-CPH,DK," 153,653 ",0.07%,60.70%
LON-BLL,DK," 153,379 ",0.07%,60.77%
CPH-ASR,DK," 152,924 ",0.07%,60.84%
HAM-IST,DK," 152,742 ",0.07%,60.91%
MNL-CPH,DK," 152,257 ",0.07%,60.98%
HAM-ALC,DK," 151,996 ",0.07%,61.05%
CPH-ACE,DK," 151,207 ",0.07%,61.12%
MAD-CPH,DK," 150,889 ",0.07%,61.19%
BLL-BRU,DK," 150,690 ",0.07%,61.26%
CPH-JTR,DK," 149,545 ",0.07%,61.33%
CPH-TUN,DK," 148,578 ",0.07%,61.39%
CPH-KRP,DK," 148,320 ",0.07%,61.46%
BLL-MLA,DK," 147,533 ",0.07%,61.53%
CPH-HRG,DK," 146,023 ",0.07%,61.60%
OSL-NYC,DK," 145,286 ",0.07%,61.66%
BLL-MUC,DK," 144,995 ",0.07%,61.73%
HAM-MIA,DK," 142,440 ",0.06%,61.79%
OSL-CPH,DK," 141,614 ",0.06%,61.86%
CPH-IBZ,DK," 141,346 ",0.06%,61.92%
HAM-LPA,DK," 140,823 ",0.06%,61.99%
CPH-AGA,DK," 140,490 ",0.06%,62.05%
CPH-DEN,DK," 139,318 ",0.06%,62.11%
CPH-BLL,DK," 138,332 ",0.06%,62.18%
BRU-CPH,DK," 136,427 ",0.06%,62.24%
BLL-CHQ,DK," 136,347 ",0.06%,62.30%
CPH-EBB,DK," 134,001 ",0.06%,62.36%
CPH-AUH,DK," 133,565 ",0.06%,62.42%
CPH-VLC,DK," 130,612 ",0.06%,62.48%
CPH-SAN,DK," 128,992 ",0.06%,62.54%
BLL-ATH,DK," 128,668 ",0.06%,62.60%
CPH-HOU,DK," 127,304 ",0.06%,62.66%
AAL-BER,DK," 127,058 ",0.06%,62.72%
CPH-AAR,DK," 126,941 ",0.06%,62.78%
CPH-ATL,DK," 125,601 ",0.06%,62.83%
NCE-CPH,DK," 125,436 ",0.06%,62.89%
BLL-FAO,DK," 125,033 ",0.06%,62.95%
HAM-LON,DK," 124,553 ",0.06%,63.00%
AAL-PMI,DK," 124,127 ",0.06%,63.06%
ATH-CPH,DK," 124,063 ",0.06%,63.12%
HAM-NCE,DK," 122,835 ",0.06%,63.17%
STO-CPH,DK," 122,751 ",0.06%,63.23%
CPH-LUX,DK," 122,497 ",0.06%,63.28%
CPH-LED,DK," 122,403 ",0.06%,63.34%
BLL-PSA,DK," 122,309 ",0.06%,63.40%
CPH-ZNZ,DK," 120,882 ",0.06%,63.45%
CPH-FUE,DK," 120,840 ",0.06%,63.51%
BLL-DUB,DK," 119,963 ",0.05%,63.56%
HAM-LIS,DK," 119,039 ",0.05%,63.62%
CPH-PER,DK," 117,581 ",0.05%,63.67%
AAL-OSL,DK," 117,065 ",0.05%,63.72%
AAL-ALC,DK," 115,171 ",0.05%,63.78%
CPH-EBL,DK," 115,044 ",0.05%,63.83%
GVA-CPH,DK," 114,474 ",0.05%,63.88%
AAL-LPA,DK," 114,297 ",0.05%,63.93%
CPH-DLM,DK," 114,130 ",0.05%,63.98%
AAL-STO,DK," 114,029 ",0.05%,64.04%
HAM-HKT,DK," 113,940 ",0.05%,64.09%
CPH-SVG,DK," 113,065 ",0.05%,64.14%
HAM-TCI,DK," 112,665 ",0.05%,64.19%
AYT-CPH,DK," 112,545 ",0.05%,64.24%
BLL-EDI,DK," 112,364 ",0.05%,64.29%
CPH-TNG,DK," 112,036 ",0.05%,64.34%
CPH-BOG,DK," 111,172 ",0.05%,64.40%
HAM-MIL,DK," 110,072 ",0.05%,64.45%
CPH-BXN,DK," 110,028 ",0.05%,64.50%
CPH-TRD,DK," 109,400 ",0.05%,64.55%
CPH-LJU,DK," 108,907 ",0.05%,64.60%
CPH-VRN,DK," 108,632 ",0.05%,64.65%
CPH-MAA,DK," 107,121 ",0.05%,64.69%
BLL-ZAD,DK," 106,039 ",0.05%,64.74%
BLL-IEV,DK," 105,414 ",0.05%,64.79%
CPH-PNH,DK," 105,355 ",0.05%,64.84%
CPH-KGS,DK," 105,119 ",0.05%,64.89%
BLL-BUH,DK," 105,106 ",0.05%,64.93%
BLL-GRO,DK," 105,025 ",0.05%,64.98%
REK-CPH,DK," 104,978 ",0.05%,65.03%
CPH-TLS,DK," 104,862 ",0.05%,65.08%
CPH-MPL,DK," 104,101 ",0.05%,65.13%
CPH-ACC,DK," 103,865 ",0.05%,65.17%
CPH-BIO,DK," 103,110 ",0.05%,65.22%
CPH-CAN,DK," 103,068 ",0.05%,65.27%
CPH-SVQ,DK," 101,449 ",0.05%,65.31%
CPH-ISB,DK," 101,293 ",0.05%,65.36%
ALC-CPH,DK," 101,054 ",0.05%,65.41%
CPH-GLA,DK," 100,539 ",0.05%,65.45%
BLL-FAE,DK," 99,602 ",0.05%,65.50%
LAX-CPH,DK," 97,811 ",0.04%,65.54%
BUH-CPH,DK," 97,056 ",0.04%,65.59%
HAM-LAX,DK," 96,937 ",0.04%,65.63%
CPH-CNX,DK," 96,703 ",0.04%,65.67%
VIE-CPH,DK," 96,186 ",0.04%,65.72%
CPH-LPL,DK," 95,980 ",0.04%,65.76%
CPH-YMQ,DK," 95,646 ",0.04%,65.81%
PMI-CPH,DK," 94,141 ",0.04%,65.85%
MMA-SKP,DK," 93,316 ",0.04%,65.89%
BLL-YTO,DK," 93,105 ",0.04%,65.93%
BLL-VIE,DK," 92,499 ",0.04%,65.98%
CPH-PUY,DK," 92,394 ",0.04%,66.02%
CPH-SXB,DK," 92,191 ",0.04%,66.06%
AAL-NCE,DK," 91,202 ",0.04%,66.10%
CPH-TIA,DK," 91,049 ",0.04%,66.14%
,DK," 90,987 ",0.04%,66.18%
AAL-MIA,DK," 90,736 ",0.04%,66.23%
HAM-CMB,DK," 89,923 ",0.04%,66.27%
BKK-USM,DK," 89,117 ",0.04%,66.31%
AAL-DXB,DK," 88,846 ",0.04%,66.35%
BLL-ZRH,DK," 88,042 ",0.04%,66.39%
CPH-YYC,DK," 87,809 ",0.04%,66.43%
CPH-DAL,DK," 87,677 ",0.04%,66.47%
CPH-CGN,DK," 87,000 ",0.04%,66.51%
LIS-CPH,DK," 86,661 ",0.04%,66.55%
AAL-SGN,DK," 86,015 ",0.04%,66.59%
MUC-CPH,DK," 85,752 ",0.04%,66.63%
BLL-RIX,DK," 85,507 ",0.04%,66.66%
BLL-HER,DK," 85,430 ",0.04%,66.70%
AAR-STO,DK," 85,377 ",0.04%,66.74%
CPH-ADD,DK," 84,568 ",0.04%,66.78%
BLL-DPS,DK," 84,322 ",0.04%,66.82%
AAL-BEY,DK," 83,990 ",0.04%,66.86%
AAL-SFO,DK," 82,878 ",0.04%,66.90%
BLL-SYD,DK," 82,150 ",0.04%,66.93%
CPH-KWI,DK," 82,137 ",0.04%,66.97%
CPH-BRS,DK," 82,064 ",0.04%,67.01%
BKK-HKT,DK," 81,953 ",0.04%,67.05%
BLL-SZG,DK," 81,927 ",0.04%,67.08%
BLL-CMB,DK," 81,483 ",0.04%,67.12%
BLL-YVR,DK," 81,239 ",0.04%,67.16%
PRG-CPH,DK," 81,122 ",0.04%,67.19%
CPH-SEZ,DK," 80,970 ",0.04%,67.23%
BLL-AHO,DK," 80,856 ",0.04%,67.27%
THR-CPH,DK," 80,198 ",0.04%,67.30%
AGP-BLL,DK," 80,054 ",0.04%,67.34%
CPH-HYD,DK," 79,957 ",0.04%,67.38%
HAM-ATH,DK," 79,642 ",0.04%,67.41%
ZRH-CPH,DK," 79,481 ",0.04%,67.45%
HAM-SGN,DK," 79,461 ",0.04%,67.49%
CPH-GDN,DK," 78,881 ",0.04%,67.52%
MAN-CPH,DK," 78,718 ",0.04%,67.56%
DXB-CPH,DK," 78,691 ",0.04%,67.59%
AAR-BCN,DK," 78,595 ",0.04%,67.63%
BLL-FLR,DK," 77,749 ",0.04%,67.67%
CPH-DAC,DK," 76,716 ",0.03%,67.70%
CPH-EIN,DK," 76,511 ",0.03%,67.74%
BLL-VNO,DK," 76,425 ",0.03%,67.77%
CPH-TPE,DK," 76,391 ",0.03%,67.81%
CPH-ALG,DK," 75,793 ",0.03%,67.84%
AAR-PAR,DK," 75,208 ",0.03%,67.87%
BLL-LAS,DK," 74,881 ",0.03%,67.91%
CPH-MSP,DK," 74,860 ",0.03%,67.94%
BJS-CPH,DK," 74,393 ",0.03%,67.98%
FRA-CPH,DK," 74,292 ",0.03%,68.01%
HAM-MAD,DK," 74,116 ",0.03%,68.04%
BLL-SIN,DK," 73,783 ",0.03%,68.08%
TLV-CPH,DK," 73,777 ",0.03%,68.11%
WAW-CPH,DK," 73,125 ",0.03%,68.14%
AAR-OSL,DK," 72,985 ",0.03%,68.18%
BLL-CHI,DK," 72,937 ",0.03%,68.21%
SJJ-CPH,DK," 72,787 ",0.03%,68.24%
CPH-TOS,DK," 72,507 ",0.03%,68.28%
BUD-CPH,DK," 72,443 ",0.03%,68.31%
AAL-HKT,DK," 72,268 ",0.03%,68.34%
FAE-CPH,DK," 72,079 ",0.03%,68.38%
CPH-KBL,DK," 71,860 ",0.03%,68.41%
AAL-ORL,DK," 71,817 ",0.03%,68.44%
CPH-LHE,DK," 71,442 ",0.03%,68.47%
CPH-CFU,DK," 71,416 ",0.03%,68.51%
BLL-HAV,DK," 71,319 ",0.03%,68.54%
LON-NYC,DK," 71,130 ",0.03%,68.57%
HAM-VCE,DK," 70,858 ",0.03%,68.60%
CPH-BIQ,DK," 70,823 ",0.03%,68.64%
OSL-BLL,DK," 70,785 ",0.03%,68.67%
CPH-PHX,DK," 70,630 ",0.03%,68.70%
CPH-SDQ,DK," 70,484 ",0.03%,68.73%
BLL-FLL,DK," 70,280 ",0.03%,68.77%
AAL-LIS,DK," 69,886 ",0.03%,68.80%
CPH-BOD,DK," 69,542 ",0.03%,68.83%
DUS-CPH,DK," 69,537 ",0.03%,68.86%
HAM-KUL,DK," 69,465 ",0.03%,68.89%
CPH-PTY,DK," 68,910 ",0.03%,68.92%
HEL-CPH,DK," 68,865 ",0.03%,68.96%
CPH-BJL,DK," 68,844 ",0.03%,68.99%
AAL-TCI,DK," 68,671 ",0.03%,69.02%
AAR-PMI,DK," 68,516 ",0.03%,69.05%
AAL-PRG,DK," 68,358 ",0.03%,69.08%
CPH-AHO,DK," 68,043 ",0.03%,69.11%
BLL-ASR,DK," 68,019 ",0.03%,69.14%
DUB-CPH,DK," 67,672 ",0.03%,69.17%
BLL-DUS,DK," 67,092 ",0.03%,69.20%
CPH-CHC,DK," 67,003 ",0.03%,69.23%
HAM-MUC,DK," 66,840 ",0.03%,69.26%
MOW-SIP,DK," 66,772 ",0.03%,69.30%
CPH-KTW,DK," 66,723 ",0.03%,69.33%
CPH-GUA,DK," 66,640 ",0.03%,69.36%
VCE-CPH,DK," 66,345 ",0.03%,69.39%
CPH-TBS,DK," 65,980 ",0.03%,69.42%
SOF-CPH,DK," 65,481 ",0.03%,69.45%
CPH-BLR,DK," 65,429 ",0.03%,69.48%
HAM-MAN,DK," 65,119 ",0.03%,69.51%
HAM-BEY,DK," 64,829 ",0.03%,69.54%
CPH-TPA,DK," 64,768 ",0.03%,69.57%
BLL-INN,DK," 64,634 ",0.03%,69.59%
CPH-CAG,DK," 64,353 ",0.03%,69.62%
CPH-MHD,DK," 64,212 ",0.03%,69.65%
BLL-IZM,DK," 63,975 ",0.03%,69.68%
LPA-CPH,DK," 63,909 ",0.03%,69.71%
BLL-SHA,DK," 63,866 ",0.03%,69.74%
STO-BKK,DK," 63,441 ",0.03%,69.77%
CPH-TRN,DK," 63,339 ",0.03%,69.80%
AAR-BER,DK," 62,607 ",0.03%,69.83%
PAR-BLL,DK," 62,562 ",0.03%,69.86%
BLL-JNB,DK," 62,353 ",0.03%,69.88%
AAL-MIL,DK," 62,297 ",0.03%,69.91%
BLL-ANK,DK," 61,955 ",0.03%,69.94%
CPH-RGN,DK," 61,764 ",0.03%,69.97%
CPH-ABZ,DK," 61,752 ",0.03%,70.00%
BLL-TLV,DK," 61,695 ",0.03%,70.03%
BLL-CCF,DK," 61,654 ",0.03%,70.05%
HAM-SIN,DK," 61,384 ",0.03%,70.08%
IEV-CPH,DK," 61,028 ",0.03%,70.11%
